cos_theta,r,g,b
0.044083595275878906,0.9053358769003246,0.9245265586961301,0.9419959383997387
0.04449462890625,0.9046281294967314,0.9239285403834244,0.9415097820677637
0.044907569885253906,0.9039205973779167,0.923329934605047,0.9410225337101747
0.045322418212890625,0.9032133293495831,0.9227307745781815,0.9405342124188087
0.045739173889160156,0.9025063742382228,0.9221310936256454,0.9400448373979732
0.0461578369140625,0.9017997808835242,0.9215309251722109,0.9395544279634476
0.046578407287597656,0.9010935981307224,0.9209303027408765,0.9390630035414524
0.047000885009765625,0.9003878748229027,0.9203292599490809,0.9385705836675886
0.047425270080566406,0.8996826597932461,0.9197278305048707,0.9380771879857476
0.0478515625,0.898978001857245,0.9191260482030112,0.9375828362469898
0.048279762268066406,0.8982739498048562,0.9185239469210555,0.937087548308394
0.048709869384765625,0.8975705523926266,0.9179215606153572,0.9365913441318752
0.049141883850097656,0.896867858335779,0.9173189233170386,0.9360942437829719
0.0495758056640625,0.8961659163002543,0.9167160691279138,0.9355962674296053
0.050011634826660156,0.8954647748947346,0.9161130322163601,0.9350974353408057
0.050449371337890625,0.8947644826626241,0.9155098468131502,0.934597767885409
0.050889015197753906,0.8940650880740116,0.9149065472072363,0.9340972855307234
0.05133056640625,0.8933666395176076,0.9143031677414923,0.933596008841164
0.051774024963378906,0.8926691852926549,0.9136997428084158,0.9330939584768622
0.052219390869140625,0.891972773600835,0.9130963068457849,0.9325911551922372
0.052666664123535156,0.8912774525381412,0.9124928943322799,0.9320876198345441
0.0531158447265625,0.8905832700867562,0.9118895397830638,0.9315833733423878
0.053566932678222656,0.8898902741069137,0.9112862777453247,0.9310784367442089
0.054019927978515625,0.8891985123287541,0.9106831427937849,0.9305728311567387
0.054474830627441406,0.8885080323441791,0.9100801695261717,0.9300665777834257
0.054931640625,0.8878188815987086,0.9094773925586556,0.9295596979128294
0.055390357971191406,0.8871311073833376,0.9088748465212569,0.9290522129169895
0.055850982666015625,0.8864447568264057,0.9082725660532192,0.9285441442497595
0.056313514709472656,0.885759876885465,0.9076705857983558,0.9280355134451188
0.0567779541015625,0.8850765143391839,0.9070689404003625,0.9275263421154473
0.057244300842285156,0.8843947157792339,0.9064676644981107,0.9270166519497772
0.057712554931640625,0.8837145276022355,0.9058667927209058,0.9265064647120144
0.058182716369628906,0.8830359960016871,0.9052663596837286,0.9259958022391294
0.05865478515625,0.8823591669599553,0.9046663999824491,0.9254846864393247
0.059128761291503906,0.8816840862402665,0.9040669481890222,0.9249731392901681
0.059604644775390625,0.8810107993787485,0.9034680388466589,0.9244611828367029
0.060082435607910156,0.8803393516765032,0.9028697064649823,0.9239488391895289
0.0605621337890625,0.8796697881917106,0.9022719855151664,0.9234361305228569
0.061043739318847656,0.8790021537317881,0.9016749104250552,0.9229230790725329
0.061527252197265625,0.8783364928455785,0.9010785155742755,0.9224097071340424
0.062012672424316406,0.8776728498156074,0.9004828352893275,0.9218960370604801
0.0625,0.8770112686503655,0.8998879038386726,0.921382091260501
0.0629892349243164,0.8763517930766702,0.899293755427806,0.9208678921962407
0.06348037719726562,0.8756944665320705,0.8987004241943238,0.9203534623812117
0.06397342681884766,0.8750393321573141,0.8981079442029859,0.9198388243781777
0.0644683837890625,0.874386432788882,0.8975163494407691,0.9193240007969968
0.06496524810791016,0.8737358109515871,0.8969256738119226,0.9188090142924468
0.06546401977539062,0.8730875088512422,0.896335951133016,0.9182938875620245
0.0659646987915039,0.8724415683674028,0.8957472151279943,0.9177786433437183
0.06646728515625,0.8717980310461815,0.8951594994232299,0.9172633044137627
0.0669717788696289,0.8711569380931468,0.8945728375425772,0.916747893584369
0.06747817993164062,0.8705183303662936,0.8939872629024384,0.9162324337014295
0.06798648834228516,0.8698822483691113,0.8934028088068284,0.9157169476422055
0.0684967041015625,0.869248732243722,0.8928195084424551,0.9152014583129915
0.06900882720947266,0.8686178217641266,0.8922373948738022,0.9146859886467584
0.06952285766601562,0.8679895563295256,0.8916565010382316,0.9141705616007774
0.0700387954711914,0.8673639749577501,0.8910768597410943,0.9136552001542229
0.070556640625,0.8667411162787765,0.8904985036508565,0.9131399273057564
0.0710763931274414,0.8661210185283545,0.8899214652942437,0.9126247660710943
